FSCL_YR,MINC,MINE,PADN,DEPT_EN_DESC,ROBJ_CD,ROBJ_EN_NM,PRJCT_EN_DESC,TOT_CY_XPND_AMT,AGRG_PYMT_AMT
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,Berlitz Ottawa Ont,0,627116
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,Allstream Ottawa Ont,0,273240
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,Algonquin College Ottawa Ont,0,1214693
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,Airborne Solutions International Inc Spruce Grove Alta,0,246915
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,Afnorth International School Brunssum Netherlands,0,1066110
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,AFI Qu̩bec Que,0,326075
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,Accuracy 1st Inc Canadian Texas USA,0,108810
2012/2013,16,National Defence,18,National Defence,86,Temporary Help Services,,26283232,0
2012/2013,16,National Defence,18,National Defence,86,Temporary Help Services,Wing Fund Moose Jaw Sask,0,149952
2012/2013,16,National Defence,18,National Defence,86,Temporary Help Services,Valcom Consulting Group Inc Ottawa Ont,0,381937
2012/2013,16,National Defence,18,National Defence,86,Temporary Help Services,Turtle Island Staffing Ottawa Ont,0,231761
2012/2013,16,National Defence,18,National Defence,86,Temporary Help Services,TPG Technology Consulting Ltd Ottawa Ont,0,332067
2012/2013,16,National Defence,18,National Defence,86,Temporary Help Services,Tiree Facility Solutions Ottawa Ont,0,234778
2012/2013,16,National Defence,18,National Defence,86,Temporary Help Services,The AIM Group Inc Ottawa Ont,0,157492
2012/2013,16,National Defence,18,National Defence,86,Temporary Help Services,TDV Global Inc Ottawa Ont,0,145688
2012/2013,16,National Defence,18,National Defence,86,Temporary Help Services,Tag HR Admin The Associates Group Ottawa Ont,0,500024
2012/2013,16,National Defence,18,National Defence,86,Temporary Help Services,"Service payments under $100,000 (152 payees)",0,3105566
2012/2013,16,National Defence,18,National Defence,86,Temporary Help Services,Randstad Canada Montr̩al Que,0,318620
2012/2013,16,National Defence,18,National Defence,86,Temporary Help Services,Quantum Management Services Ltd Montr̩al Que,0,3090663
2012/2013,16,National Defence,18,National Defence,86,Temporary Help Services,QMR Consulting & Professional Staffing Ottawa Ont,0,246245
2012/2013,16,National Defence,18,National Defence,86,Temporary Help Services,Promaxis Systems Inc Ottawa Ont,0,1052324
2012/2013,16,National Defence,18,National Defence,86,Temporary Help Services,Prologic Systems Limited Ottawa Ont,0,302917
2012/2013,16,National Defence,18,National Defence,86,Temporary Help Services,Procom Consultants Group Ltd Toronto Ont,0,946369
2012/2013,16,National Defence,18,National Defence,40,Business Services,Canada FMS New York NY USA,0,2191872
2012/2013,16,National Defence,18,National Defence,40,Business Services,Canadian Base Operators Toronto Ont,0,11973949
2012/2013,16,National Defence,18,National Defence,40,Business Services,Canadian Corps of Commissionaires Ottawa Ont,0,972165
2012/2013,16,National Defence,18,National Defence,40,Business Services,Canadian Forces Personnel Support Agency Ottawa Ont,0,358908
2012/2013,16,National Defence,18,National Defence,40,Business Services,Canadian Space Agency Saint-Hubert Que,0,4597915
2012/2013,16,National Defence,18,National Defence,40,Business Services,3388646 Canada Inc Victoria BC,0,3323040
2012/2013,16,National Defence,18,National Defence,40,Business Services,Cardinal Health Inc Vaughan Ont,0,138110
2012/2013,16,National Defence,18,National Defence,40,Business Services,Carico Townsend Ont,0,117429
2012/2013,16,National Defence,18,National Defence,40,Business Services,Cascade Aerospace Inc Abbotsford BC,0,3175178
2012/2013,16,National Defence,18,National Defence,40,Business Services,CCM Design Built Inc Seven Sisters Falls Man,0,339300
2012/2013,16,National Defence,18,National Defence,40,Business Services,Centrap Inc Mont-Joli Que,0,122005
2012/2013,16,National Defence,18,National Defence,40,Business Services,Champion Furnace Cleaning Ltd Cold Lake Alta,0,100564
2012/2013,16,National Defence,18,National Defence,40,Business Services,City of Windsor Windsor Ont,0,562086
2012/2013,16,National Defence,18,National Defence,40,Business Services,Clean Earth Technologies Inc Enfield NS,0,169927
2012/2013,16,National Defence,18,National Defence,40,Business Services,Compass Group Canada Ltd Mississauga Ont,0,5660002
2012/2013,16,National Defence,18,National Defence,40,Business Services,Computershare Trust Co of Canada Montr̩al Que,0,1136985
2012/2013,16,National Defence,18,National Defence,40,Business Services,Concept Electric Ltd Calgary Alta,0,104245
2012/2013,16,National Defence,18,National Defence,40,Business Services,Conciergerie JL Inc Laterri̬re Que,0,125789
2012/2013,16,National Defence,18,National Defence,40,Business Services,Corporation du Fort Saint-Jean Saint-Jean-sur-Richelieu Que,0,173769
2012/2013,16,National Defence,18,National Defence,40,Business Services,Cuisine Karo Inc Montr̩al Que,0,373777
2012/2013,16,National Defence,18,National Defence,40,Business Services,D&J's Cleaning Services Ltd Middle Sackville NS,0,688161
2012/2013,16,National Defence,18,National Defence,40,Business Services,Dave's Cleaning Service Whitehorse Yk,0,162394
2012/2013,16,National Defence,18,National Defence,40,Business Services,Davey Tree Expert Co of Canada Ltd Ancaster Ont,0,173602
2012/2013,16,National Defence,18,National Defence,40,Business Services,Defence Construction Canada Ottawa Ont,0,20190233
2012/2013,16,National Defence,18,National Defence,40,Business Services,Dixie Cleaners & Laundry Services Alliston Ont,0,346882
2012/2013,16,National Defence,18,National Defence,40,Business Services,Don Mann Excavating Ltd Victoria BC,0,128062
2012/2013,16,National Defence,18,National Defence,40,Business Services,Dussmann AG & Co Zweigniederlassung Cologne Germany,0,134053
2012/2013,16,National Defence,18,National Defence,40,Business Services,Dynamic Facility Services Ltd Richmond BC,0,782490
2012/2013,16,National Defence,18,National Defence,40,Business Services,EBM K Enterprises Ltd Calgary Alta,0,114828
2012/2013,16,National Defence,18,National Defence,40,Business Services,?cole Secondaire Mont-Saint-Sacrement Saint-Gabriel-de-Valcartier Que,0,316787
2012/2013,16,National Defence,18,National Defence,40,Business Services,Entretien Avangardiste Inc Montr̩al Que,0,290071
2012/2013,16,National Defence,18,National Defence,40,Business Services,Entretien PEACE Plus Inc Montr̩al Que,0,846751
2012/2013,16,National Defence,18,National Defence,40,Business Services,Enviro Sweep Property Maintenance Belleville Ont,0,249490
2012/2013,16,National Defence,18,National Defence,40,Business Services,Environment Canada Gatineau Que,0,172197
2012/2013,16,National Defence,18,National Defence,40,Business Services,Falcon Environmental Services Inc Alexandria Ont,0,750800
2012/2013,16,National Defence,18,National Defence,40,Business Services,FEC Mont-Benilde B̩cancour Que,0,470971
2012/2013,16,National Defence,18,National Defence,40,Business Services,Federal Reserve Bank of New York New York NY USA,0,478900
2012/2013,16,National Defence,18,National Defence,40,Business Services,Fisheries and Oceans Canada Ottawa Ont,0,1662256
2012/2013,16,National Defence,18,National Defence,40,Business Services,Foreign Affairs and International Trade Canada Ottawa Ont,0,1872316
2012/2013,16,National Defence,18,National Defence,40,Business Services,Gary Budden Janitorial Services Gander NL,0,139877
2012/2013,16,National Defence,18,National Defence,40,Business Services,699694 BC Ltd Nanaimo BC,0,278530
2012/2013,16,National Defence,18,National Defence,40,Business Services,A&L Concrete Forming Ltd Chezzetcook NS,0,425231
2012/2013,16,National Defence,18,National Defence,40,Business Services,ABCO Maintenance Systems Calgary Alta,0,1581538
2012/2013,16,National Defence,18,National Defence,40,Business Services,Acklands-Grainger Inc Richmond Hill Ont,0,357529
2012/2013,16,National Defence,18,National Defence,40,Business Services,Air Transport Association of Canada Ottawa Ont,0,1938913
2012/2013,16,National Defence,18,National Defence,40,Business Services,Al Bruch's Carpentry Ltd Victoria BC,0,170720
2012/2013,16,National Defence,18,National Defence,40,Business Services,Alberta Health Services Edmonton Alta,0,104552
2012/2013,16,National Defence,18,National Defence,40,Business Services,Amex Canada Inc Markham Ont,0,9394607
2012/2013,16,National Defence,18,National Defence,40,Business Services,Annapolis Basin Conference Centre Cornwallis Park NS,0,1394618
2012/2013,16,National Defence,18,National Defence,40,Business Services,Aramark Canada Ltd Toronto Ont,0,2309199
2012/2013,16,National Defence,18,National Defence,40,Business Services,Arctic Environmental Services Ltd Sturgeon County Alta,0,112840
2012/2013,16,National Defence,18,National Defence,40,Business Services,ARI Financial Services Inc Toronto Ont,0,157881
2012/2013,16,National Defence,18,National Defence,40,Business Services,Association qu̩b̩coise du transport a̩rien Qu̩bec Que,0,525936
2012/2013,16,National Defence,18,National Defence,40,Business Services,ATCO Structures & Logistics Ltd Calgary Alta,0,4700006
2012/2013,16,National Defence,18,National Defence,40,Business Services,Atelier du Martin-P̻cheur Inc Clermont Que,0,1273387
2012/2013,16,National Defence,18,National Defence,40,Business Services,Atlantic Industrial Cleaners Dartmouth NS,0,1122440
2012/2013,16,National Defence,18,National Defence,40,Business Services,Base Fund Borden Ont,0,669769
2012/2013,16,National Defence,18,National Defence,40,Business Services,Base Fund Petawawa Ont,0,1215342
2012/2013,16,National Defence,18,National Defence,40,Business Services,Bee-Clean Building Maintenance Edmonton Alta,0,4362458
2012/2013,16,National Defence,18,National Defence,40,Business Services,Bell Helicopter Textron Mirabel Que,0,5196288
2012/2013,16,National Defence,18,National Defence,40,Business Services,GDI Integrated Facility Services Halifax NS,0,2201843
2012/2013,16,National Defence,18,National Defence,40,Business Services,Gerald Labre/GKM Duct Cleaning Pembroke Ont,0,108437
2012/2013,16,National Defence,18,National Defence,40,Business Services,Gimli Industrial Development Group Gimli Man,0,526478
2012/2013,16,National Defence,18,National Defence,40,Business Services,Guild Contracting Specialties Dartmouth NS,0,102922
2012/2013,16,National Defence,18,National Defence,40,Business Services,GWL Realty Advisors Inc Edmonton Alta,0,359485
2012/2013,16,National Defence,18,National Defence,40,Business Services,Habitat Enterprises Unlimited St Paul Alta,0,107191
2012/2013,16,National Defence,18,National Defence,40,Business Services,Imperial Cleaners Ltd Dartmouth NS,0,1508458
2012/2013,16,National Defence,18,National Defence,40,Business Services,Inchcape Shipping Services Dubai United Arab Emirates,0,268969
2012/2013,16,National Defence,18,National Defence,40,Business Services,Industries de Maintenance Montr̩al Que,0,2831439
2012/2013,16,National Defence,18,National Defence,40,Business Services,Industry Canada Ottawa Ont,0,2800688
2012/2013,16,National Defence,18,National Defence,40,Business Services,Insurance Corporation of British Columbia North Vancouver BC,0,245249
2012/2013,16,National Defence,18,National Defence,40,Business Services,Interport Shipwaste Solutions Inc North Vancouver BC,0,104022
2012/2013,16,National Defence,18,National Defence,40,Business Services,Island Gourmet Catering Ltd Victoria BC,0,395022
2012/2013,16,National Defence,18,National Defence,40,Business Services,ISS Marine Services Mobile Ala USA,0,2052978
2012/2013,16,National Defence,18,National Defence,40,Business Services,J Wilk Landscaping Ltd Moose Jaw Sask,0,614512
2012/2013,16,National Defence,18,National Defence,40,Business Services,JK Cleaning & Maintenance Ltd Yellowknife NWT,0,108778
2012/2013,16,National Defence,18,National Defence,40,Business Services,JMX Contracting Inc Gormley Ont,0,1946461
2012/2013,16,National Defence,18,National Defence,40,Business Services,JW Bird & Company Ltd Fredericton NB,0,118912
2012/2013,16,National Defence,18,National Defence,40,Business Services,Koprash Inc Burlington Ont,0,6496331
2012/2013,16,National Defence,18,National Defence,40,Business Services,Les Aliments Relais Frais Inc Qu̩bec Que,0,688215
2012/2013,16,National Defence,18,National Defence,40,Business Services,Les Entreprises Pierre Picard Inc Sillery Que,0,786372
2012/2013,16,National Defence,18,National Defence,40,Business Services,Lockheed Martin Corporation Bethesda Md USA,0,83945191
2012/2013,16,National Defence,18,National Defence,40,Business Services,Lori's Catering Harrison Hot Springs BC,0,268889
2012/2013,16,National Defence,18,National Defence,40,Business Services,Luther College Regina Sask,0,112521
2012/2013,16,National Defence,18,National Defence,40,Business Services,Lyreco Inc Markham Ont,0,147604
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,,135739795,0
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,Yellowknife Education District No 1 Yellowknife NWT,0,108991
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,Workplace Health and Cost Solutions Inc Markham Ont,0,232152
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,Vicinia Corporation Barrie Ont,0,109199
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,Vertol Systems Company Inc Tigard Ore USA,0,447863
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,US Training Center Moyock NC USA,0,1700646
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,University of Western Ontario London Ont,0,313577
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,University of Toronto Toronto Ont,0,265500
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,University of Tennessee Space Institute Tullahoma Tenn USA,0,135734
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,University of Ottawa Ottawa Ont,0,613503
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,University of Manitoba Winnipeg Man,0,322763
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,University of Alberta Edmonton Alta,0,330000
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,University College London London United Kingdom,0,132192
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,Universit̩ Laval Qu̩bec Que,0,535652
2012/2013,16,National Defence,18,National Defence,44,Training and Educational Services,Universit̩ de Sherbrooke Sherbrooke Que,0,284584
2012/2013,16,National Defence,18,National Defence,40,Business Services,Manitoba Public Insurance Winnipeg Man,0,266864
2012/2013,16,National Defence,18,National Defence,40,Business Services,Meal Kit Supply Canada Incorporated Georgetown Ont,0,5205610
2012/2013,16,National Defence,18,National Defence,40,Business Services,Menu Veitingar Ehf Reykjanesbaer Iceland,0,114814
2012/2013,16,National Defence,18,National Defence,40,Business Services,MicroAge Red Deer Alta,0,127158
2012/2013,16,National Defence,18,National Defence,40,Business Services,Military Family Resource Centre Greenwood NS,0,120376
2012/2013,16,National Defence,18,National Defence,40,Business Services,Military Family Resource Centre Petawawa Ont,0,521480
2012/2013,16,National Defence,18,National Defence,40,Business Services,Military Family Resource Centre Victoria BC,0,481200
2012/2013,16,National Defence,18,National Defence,40,Business Services,Minister of Finance Fredericton NB,0,952795
2012/2013,16,National Defence,18,National Defence,40,Business Services,Minister of Finance Kingston Ont,0,1529945
2012/2013,16,National Defence,18,National Defence,40,Business Services,Ministry of Finance Halifax NS,0,325622
2012/2013,16,National Defence,18,National Defence,40,Business Services,Mulder's Meat Ltd Oromocto NB,0,1480405
2012/2013,16,National Defence,18,National Defence,40,Business Services,Multinational Logistic Services Great Notely Baintree United Kingdom,0,3348378
2012/2013,16,National Defence,18,National Defence,40,Business Services,Natural Resources Canada Ottawa Ont,0,215842
2012/2013,16,National Defence,18,National Defence,40,Business Services,NAV Canada Ottawa Ont,0,1675558
2012/2013,16,National Defence,18,National Defence,40,Business Services,Nettoyeur du Fjord Inc La Baie Que,0,108941
2012/2013,16,National Defence,18,National Defence,40,Business Services,Nova Scotia Agricultural College Truro NS,0,175835
2012/2013,16,National Defence,18,National Defence,40,Business Services,Omni Facility Services Canada Ltd Toronto Ont,0,4467299
2012/2013,16,National Defence,18,National Defence,40,Business Services,Pacific Geomatics Ltd Surrey BC,0,429466
2012/2013,16,National Defence,18,National Defence,40,Business Services,Pal's Cleaning Services Inc Nobleton Ont,0,246000
2012/2013,16,National Defence,18,National Defence,40,Business Services,Paranet Inc Qu̩bec Que,0,561593
2012/2013,16,National Defence,18,National Defence,40,Business Services,Premium Brands Operating Limited Saint-Romuald Que,0,100092
2012/2013,16,National Defence,18,National Defence,40,Business Services,PricewaterhouseCoopers LLP Ottawa Ont,0,113144
2012/2013,16,National Defence,18,National Defence,40,Business Services,Priestly Demolition Inc Kettleby Ont,0,439843
2012/2013,16,National Defence,18,National Defence,40,Business Services,Promaxis Systems Inc Ottawa Ont,0,120064
2012/2013,16,National Defence,18,National Defence,40,Business Services,Public Works and Government Services Canada Gatineau Que,0,42422537
2012/2013,16,National Defence,18,National Defence,40,Business Services,Restaurant La Lucerne La Baie Que,0,591524
2012/2013,16,National Defence,18,National Defence,40,Business Services,RTC Services Vernon BC,0,122038
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Ives & Farmer LLP London Ont,0,266848
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,J Bruce MacNaughton Law Office Kingston Ont,0,209727
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Javed Frost Trehearne LLP Toronto Ont,0,287331
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Jeremy Debow Law Office Lethbridge Alta,0,164824
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,JM Ledressay & Associates Langley BC,0,2165418
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Jokinen KE Barrie Ont,0,962410
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Jones & Company Nanaimo BC,0,2669000
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Julien & Cormier Professional Corporation Hawkesbury Ont,0,155250
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Dickson KW Aurora Ont,0,165424
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Doherty LA Cambridge Ont,0,131721
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Doney Law Office Guelph Ont,0,131899
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Erwin Reinhard Schulz St Albert Alta,0,216961
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Evans & Adams Orangeville Ont,0,136227
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Evans MacIsaac MacMillan Port Hawkesbury NS,0,145432
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Fedorchuk V Toronto Ont,0,129703
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Fraser DJ Hamilton Ont,0,262987
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Frost DR Toronto Ont,0,175977
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Ghosh A Maple Ont,0,111577
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Gillespie & Company LLP Kamloops BC,0,316532
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Glendon J Abbott QC Fredericton NB,0,111032
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Gosman R Winnipeg Man,0,114140
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,GR Perkins Law Office Meadow Lake Sask,0,105954
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Graham S Toronto Ont,0,107648
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Grayson and Associates Moose Jaw Sask,0,213400
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Greenspoon JL Sunderland Ont,0,106991
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Hoffman C Oakville Ont,0,118770
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Holmes DA Parry Sound Ont,0,159130
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Huber JR St Thomas Ont,0,110033
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Hurley & Williams LLP Picton Ont,0,372830
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Independent Legal Services Winnipeg Man,0,127595
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Kaun Law Corporation Prince George BC,0,494954
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Kelly Greenway Bruce Oshawa Ont,0,470299
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Kevin J Short Consulting Edmonton Alta,0,345074
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Lakes Whyte LLP North Vancouver BC,0,805928
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Law Office of Tilton T Donihee Cornwall Ont,0,365385
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Lee Inglis Albrecht Red Deer Alta,0,723117
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Leising JW Mississauga Ont,0,133776
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Letman CA Mississauga Ont,0,118961
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Lush Bowker Aird Oakville Ont,0,245657
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,M Edward Graham Law Office Oakville Ont,0,251012
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,McCann TS Pembroke Ont,0,208989
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,McCrank Stewart LLP Regina Sask,0,115482
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,McInnes Cooper Summerside PEI,0,100955
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,McKelvey S Charlottetown PEI,0,251646
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,McKercher LLP Regina Sask,0,159384
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Melina Rawluk Professional Stony Plain Alta,0,290417
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Mendes-Roux S Bathurst NB,0,216962
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Miller M Burlington Ont,0,185256
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Mills & Gallant Stephenville NL,0,360738
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Monardo F Woodbridge Ont,0,110024
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Mousseau Deluca McPherson Prince Windsor Ont,0,1061832
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Murchison Thomson & Clarke LLP Surrey BC,0,2721936
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,O'Brien N Williams Lake BC,0,273285
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,O'Connell HM Walkerton Ont,0,120057
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Oman J Calgary Alta,0,231879
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Patrick L Murchison Professional Four Falls NB,0,109408
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Paul D Syrduk Law Office Lancaster Ont,0,128080
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Chapman JM Little Current Ont,0,443614
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Clements & Smith Lloydminster Alta,0,242860
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Cline Backus Nightingale & McArthur LLP Simcoe Ont,0,152780
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Coke A Brampton Ont,0,138173
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Cooke T Keswick Ont,0,150956
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Crowe JD Kingston Ont,0,176255
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Daigle and Associates Moncton NB,0,605808
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Peter Wenglowski Professional St Catharines Ont,0,961016
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Pushor Mitchell LLP Kelowna BC,0,1029871
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Quon Ferguson Legal PC Ltd Saskatoon Sask,0,233637
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Rebecca B Smyth Law Corporation Trail BC,0,145670
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Riopelle Group Professional Corporation Timmins Ont,0,803255
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Ronald J Poirier Professional Thunder Bay Ont,0,705374
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Ryan Iannetti Law Office North Sydney NS,0,215016
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Sanderson Balicki Parchomchuk Prince Albert Sask,0,200220
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,"Service payments under $100,000 (175 payees)",0,2941007
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Shatford C Amherst NS,0,107965
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Shirtliff-Hinds Professional Corporation Newmarket Ont,0,238166
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Stefura Greber & Beal LLP Grande Prairie Alta,0,181537
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Susan Bottern Law Office Fort McMurray Alta,0,367746
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Szabo AB Canmore Alta,0,277082
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Talstra Law Corporation Terrace BC,0,355886
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Carpenter H London Ont,0,123259
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,40,Business Services,"Service payments under $100,000 (438 payees)",0,1005066
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,40,Business Services,,1005066,0
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,45,Health and Welfare Services,"Service payments under $100,000 (21 payees)",0,49729
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,45,Health and Welfare Services,,49729,0
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,47,Informatics Services,"Service payments under $100,000 (13 payees)",0,173584
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,47,Informatics Services,,173584,0
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,87,Interpretation and Translation Services,Public Works and Government Services Gatineau Que,0,388074
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,87,Interpretation and Translation Services,"Service payments under $100,000 (116 payees)",0,318252
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,87,Interpretation and Translation Services,,706326,0
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Adjei AK Newmarket Ont,0,228893
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Aiken Christensen & Heath Gravenhurst Ont,0,166214
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Allan Francis Pringle LLP Vernon BC,0,435533
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Anne M Fagan Professional St John's NL,0,100859
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Antoniani S Dundas Ont,0,304681
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Bradley Law Office Sudbury Ont,0,425816
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Brothers & Burden Corner Brook NL,0,312415
2012/2013,15,Justice,19,Office of the Director of Public Prosecutions,41,Legal Services,Burchell MacDougall Truro NS,0,180569
